"","aboveThreshold","locationNew","total","n_Conc","n_conc.lower.95","n_conc.upper.95","rel.freq_Conc","rel.freq_conc.lower.95","rel.freq_conc.upper.95"
"1","below Threshold 1","Central Bay",25,14,21,12,"56%","84%","48%"
"2","below Threshold 1","general",13,7,11,7,"54%","85%","54%"
"3","below Threshold 1","Lower South Bay",10,7,9,6,"70%","90%","60%"
"4","below Threshold 1","National Marine Sanctuary",44,29,39,25,"66%","89%","57%"
"5","below Threshold 1","South Bay",15,9,13,8,"60%","87%","53%"
"6","above Threshold 1","Central Bay",25,10,4,5,"40%","16%","20%"
"7","above Threshold 1","general",13,6,2,NA,"46%","15%",NA
"8","above Threshold 1","Lower South Bay",10,3,1,2,"30%","10%","20%"
"9","above Threshold 1","National Marine Sanctuary",44,11,4,10,"25%","9%","23%"
"10","above Threshold 1","South Bay",15,5,2,2,"33%","13%","13%"
"11","above Threshold 2","Central Bay",25,1,NA,6,"4%",NA,"24%"
"12","above Threshold 2","National Marine Sanctuary",44,3,1,5,"7%","2%","11%"
"13","above Threshold 2","South Bay",15,1,NA,4,"7%",NA,"27%"
"14","above Threshold 2","general",13,NA,NA,6,NA,NA,"46%"
"15","above Threshold 2","Lower South Bay",10,NA,NA,1,NA,NA,"10%"
"16","above Threshold 3","National Marine Sanctuary",44,1,NA,3,"2%",NA,"7%"
"17","above Threshold 3","Central Bay",25,NA,NA,2,NA,NA,"8%"
"18","above Threshold 3","Lower South Bay",10,NA,NA,1,NA,NA,"10%"
"19","above Threshold 3","South Bay",15,NA,NA,1,NA,NA,"7%"
"20","above Threshold 4","National Marine Sanctuary",44,NA,NA,1,NA,NA,"2%"
